label,Cosine_Similarity,Jaccard,Token_Overlap,BLEU,ROUGE_L
A1-sbert,0.5336771253710251,0.12246063298215654,0.17563289254492254,0.12286598045590537,0.12335939006047854
A2-e5-large,0.8978279730003748,0.12894652235708556,0.18653884144984573,0.1304805085741133,0.12275169024007415
A3-bi-encoder,0.4040494218775873,0.12130804692394223,0.1757369613822785,0.12361648028433386,0.12011365220736966
B1-2000-50,0.5336771253710251,0.12246063298215654,0.17563289254492254,0.12286598045590537,0.12335939006047854
B2-1000-200,0.5748861484244094,0.1342087524241335,0.19935492237217783,0.14973918927274915,0.13382187449762106
B3-500-100,0.5758410639023903,0.14021894913845986,0.19982475205141956,0.14497368641488856,0.13346478900268927
C1-k3,0.5656234189191524,0.14273747965363323,0.2078629379240963,0.14398882673540497,0.1377848715586002
C1-k5,0.5748861484244094,0.1342087524241335,0.19935492237217783,0.14973918927274915,0.13382187449762106
C1-k7,0.5932094192315152,0.14177088349457795,0.22927460212887063,0.1702530172967283,0.1506696989836259
C1-k10,0.6335663310638474,0.16157721277287135,0.24707444238833876,0.18098921344789343,0.16066866186341627
C2-bm25-hybrid,0.5829978843814101,0.1437069868209415,0.2241218937141863,0.1532492186221378,0.14036104683768044
D1-baseline,0.6335663310638474,0.16157721277287135,0.24707444238833876,0.18098921344789343,0.16066866186341627
D2-structured,0.05601996941410341,0.005257036289519416,0.004168304269894433,0.002815870818780299,0.0032532032251835086
D3-fewshot,0.6187911457383771,0.1820494937203302,0.2581638826437537,0.19013899172978063,0.15195555408365183
BASELINE-100,0.5394176191196653,0.12405588934837664,0.18916027534372767,0.12962831606869238,0.13107842494861394
BEST-100,0.5997972707049324,0.16207904645773524,0.2507806162648125,0.17590369843065518,0.15854021577631247
